[2019-07-27 16:22:09] Downloading update (348,482 of 350,762 KB)...
[2019-07-27 16:22:09] Downloading update (348,875 of 350,762 KB)...
[2019-07-27 16:22:09] Downloading update (349,269 of 350,762 KB)...
[2019-07-27 16:22:10] Downloading update (349,663 of 350,762 KB)...
[2019-07-27 16:22:10] Downloading update (350,057 of 350,762 KB)...
[2019-07-27 16:22:10] Downloading update (350,457 of 350,762 KB)...
[2019-07-27 16:22:10] Downloading update (350,762 of 350,762 KB)...
[2019-07-27 16:22:10] Download Complete.
[2019-07-27 16:22:10] uninstalled manifest found in /home/medivh/.steam/package/steam_client_ubuntu12 (1).
[2019-07-27 16:22:10] Extracting package...
[2019-07-27 16:22:20] Installing update...
[2019-07-27 16:22:21] Cleaning up...
[2019-07-27 16:22:21] Update complete, launching...
[2019-07-27 16:22:21] Shutdown
